,beach_name,best_accommodation_price,best_flight_price,region,location
0,Sydney,£80,£680,Oceania,"-33.8914755,151.2766845"
1,Gold Coast,£72,£679,Oceania,"-28.087345,153.450944"
2,Bora Bora,Hotels,Flights,Oceania,"-16.5004126,-151.7414904"
3,Fiji,Hotels,Flights,Oceania,"-17.713371,178.065032"
4,Surfers Paradise,£116,£679,Oceania,"-27.9992435,153.4314575"
5,Whitsunday Islands,Hotels,Flights,Oceania,"-20.2824324,149.038854"
6,Tahiti,Hotels,Flights,Oceania,"-17.6509195,-149.4260421"
7,Byron Bay,£114,£679,Oceania,"-28.641546,153.61446"
8,Perth,£62,£677,Oceania,"-31.934,115.764"
9,Noosa,£91,£679,Oceania,"-26.398,153.093"
10,Guam,Hotels,Flights,Oceania,"13.444304,144.793731"
11,Cairns,£62,£753,Oceania,"-16.9185514,145.7780548"
12,Melbourne,£69,£672,Oceania,"28.1858626,-80.5924201"
13,Mo'orea,Hotels,Flights,Oceania,"-17.5029052,-149.9155712"
14,Rarotonga,Hotels,Flights,Oceania,"-21.2202574,-159.8296585"
15,"Sunshine Coast, Queensland",£72,£679,Oceania,"-26.407,153.105"
16,Auckland,£73,£738,Oceania,"-36.8484597,174.7633315"
17,Fraser Island,Hotels,Flights,Oceania,"-25.513193,153.12463"
18,Hot Water Beach,£115,£738,Oceania,"-36.8828924,175.8200077"
19,Hyams Beach,£93,£680,Oceania,"-35.1114318,150.6947475"
20,Saipan,Hotels,Flights,Oceania,"15.1850483,145.7467259"
21,Hamilton Island,Hotels,Flights,Oceania,"-20.3463894,148.9566942"
22,Port Douglas,£92,£753,Oceania,"-16.487423,145.467724"
23,Broome,Hotels,Flights,Oceania,"-17.9614336,122.235852"
24,Brisbane,£64,£679,Oceania,"-27.432122,153.096446"
25,Adelaide,£62,£715,Oceania,"-35.281,138.454"
26,Nouméa,Hotels,Flights,Oceania,"-22.2710727,166.4416459"
27,Piha,£66,£738,Oceania,"-36.9530211,174.4688092"
28,Aitutaki,Hotels,Flights,Oceania,"-18.8579523,-159.7852843"
29,Newcastle,£65,£680,Oceania,"-32.9310039,151.7857155"
30,"Burleigh Heads, Queensland",£82,£679,Oceania,"-28.087345,153.450944"
31,Coolangatta,Hotels,Flights,Oceania,"-28.1663925,153.5404094"
32,Margaret River,£69,£677,Oceania,"-33.955,115.075"
33,Stockton Beach,£27,£680,Oceania,"-32.8054122,151.9608991"
34,Cape Reinga,Hotels,£738,Oceania,"-34.4360167,172.7139019"
35,Coffs Harbour,Hotels,Flights,Oceania,"-30.2895063,153.1365294"
36,Dunedin,Hotels,Flights,Oceania,"-45.9207753,170.4591872"
37,"Bells Beach, Victoria",£69,£672,Oceania,"-38.3688697,144.2829457"
38,"Cape Tribulation, Queensland",£80,£753,Oceania,"-16.0693189,145.4621993"
39,Nadi,Hotels,Flights,Oceania,"-17.764162,177.427844"
40,Torquay,£106,£672,Oceania,"-38.333333,144.316667"
41,Esperance,£62,£677,Oceania,"-33.8608027,121.8896205"
42,North Stradbroke Island,Hotels,£679,Oceania,"-27.4268029,153.5329358"
43,Hervey Bay,£62,£679,Oceania,"-25.2822976,152.8820692"
44,Mount Maunganui,£70,£738,Oceania,"-37.632209,176.176881"
45,Sorrento,Hotels,£672,Oceania,"-38.3437962,144.731738"
46,Darwin,Hotels,Flights,Oceania,"-12.4481357,130.8282309"
47,Port Macquarie,£55,£680,Oceania,"-31.4458261,152.9277474"
48,Ayia Napa,£46,£152,Middle East,"34.9880828,33.9688179"
49,Dubai,£38,£273,Middle East,"25.1939565,55.23161750000001"
50,Hurghada,£27,£284,Middle East,"27.2578957,33.8116067"
51,Sharm El Sheikh,£20,£344,Middle East,"28.0568326,34.438448"
52,Antalya,£24,£118,Middle East,"36.86499999999999,30.6444444"
53,Alanya,£15,£118,Middle East,"36.5533266,31.9728367"
54,Ölüdeniz,£29,£230,Middle East,"36.5465846,29.1217788"
55,Protaras,£70,£152,Middle East,"35.0123605,34.0587472"
56,Dead Sea,£66,£173,Middle East,"31.7610016,35.5038646"
57,Bodrum,£25,£201,Middle East,"37.0288617,27.4403418"
58,Marmaris,£21,£230,Middle East,"36.854936,28.270878"
59,Paphos,£26,£94,Middle East,"34.7650502,32.4069064"
