,beach_name,best_accommodation_price,best_flight_price,region,location,beach_ease_score,beach_value
176,Alicante,£36,£46,Europe,"38.345623,-0.4769456",-39.0,7
162,Lloret de Mar,£39,£45,Europe,"41.69027699999999,2.8237705",-40.8,7
178,Cascais,£40,£45,Europe,"38.7324707,-9.4724771",-41.5,7
65,Kemer,£10,£118,Middle East,"36.6125565,30.5595589",-42.4,7
107,Agadir,£29,£80,Africa,"30.410069,-9.601739",-44.3,7
157,Marbella,£45,£44,Europe,"36.4898088,-4.9490514",-44.699999999999996,7
160,Costa del Sol,£45,£44,Europe,"36.524807,-5.0390536",-44.699999999999996,7
161,Lagos,£46,£45,Europe,"37.0916278,-8.6692552",-45.699999999999996,7
53,Alanya,£15,£118,Middle East,"36.5533266,31.9728367",-45.9,7
59,Paphos,£26,£94,Middle East,"34.7650502,32.4069064",-46.4,7
166,Costa Blanca,£48,£46,Europe,"38.630778,-0.00618",-47.4,7
172,Sithonia,£43,£60,Europe,"40.1265909,23.9693838",-48.099999999999994,7
180,Málaga,£50,£44,Europe,"36.7192893,-4.4024568",-48.199999999999996,7
120,Puerto de la Cruz,£43,£62,Africa,"28.4174381,-16.5495638",-48.699999999999996,7
189,Nerja,£51,£44,Europe,"36.7497316,-3.868322",-48.9,7
143,Funchal,£39,£81,Africa,"32.6382596,-16.9497874",-51.599999999999994,7
267,Antalya,£24,£118,Asia,"36.5315203,32.0429162",-52.199999999999996,7
81,Kaş,£25,£118,Middle East,"36.1978196,29.6442708",-52.9,7
151,Benidorm,£57,£46,Europe,"38.5350154,-0.1171847",-53.699999999999996,7
60,"Side, Turkey",£27,£118,Middle East,"36.7658723,31.3900689",-54.3,7
71,Konyaaltı,£27,£118,Middle East,"36.86499999999999,30.6444444",-54.3,7
144,Mallorca,£63,£39,Europe,"39.32382930000001,3.13907",-55.8,7
121,Madeira,£45,£81,Africa,"27.796482,-82.79527999999999",-55.8,7
134,Essaouira,£39,£100,Africa,"31.50761949999999,-9.7671967",-57.3,7
146,Ibiza,£63,£46,Europe,"38.9394699,1.2380161",-57.9,7
171,Barcelona,£64,£45,Europe,"41.3903674,2.2023036",-58.3,7
152,Costa Brava,£65,£45,Europe,"41.7159305,2.9325594",-59.0,7
154,Lefkada,£45,£92,Europe,"38.6011744,20.5503374",-59.099999999999994,7
138,Caleta de Fuste,£58,£62,Africa,"28.3987293,-13.8618712",-59.199999999999996,7
124,Costa Teguise,£59,£62,Africa,"28.995734,-13.489544",-59.9,7
169,Balearic Islands,£70,£39,Europe,"38.685342,1.460409",-60.699999999999996,7
